,City,NO,NO2,NH3
17,Kochi,71.00765432098765,15.195493827160494,8.78858024691358
10,Delhi,38.95663016426082,50.756217023394726,41.88001493280239
21,Patna,29.443702906350914,35.753127018299246,16.109208826695372
23,Talcher,26.409481081081083,15.69437837837838,12.385783783783785
18,Kolkata,26.305294840294838,39.82169533169533,18.370380835380836
11,Ernakulam,22.855555555555554,9.825000000000001,20.51703703703704
13,Guwahati,20.02314741035857,13.5849203187251,11.077629482071714
0,Ahmedabad,18.627297162767544,47.72635141861623,15.85
3,Amritsar,18.054766584766583,18.636273546273546,14.426273546273546
20,Mumbai,17.954813339970134,23.144504728720758,15.454464907914385
12,Gurugram,16.905985705777248,23.241423466349016,16.57608100059559
6,Brajrajnagar,15.381695095948828,17.810149253731346,31.642942430703627
19,Lucknow,15.169497262319561,33.10637132901941,22.589452463912394
15,Jaipur,14.564865350089766,32.28379712746858,26.369910233393178
25,Visakhapatnam,12.29281805745554,34.563372093023254,11.687421340629275
16,Jorapokhar,10.75530367835757,12.194704875962362,9.790188195038494
7,Chandigarh,10.493388157894737,11.743684210526316,30.28611842105263
4,Bengaluru,9.410572424091589,27.976212045793925,21.3580537580886
1,Aizawl,9.408053097345132,0.3884955752212389,22.308938053097343
8,Chennai,9.203096067695371,16.944216027874564,52.50566948730712
14,Hyderabad,7.846126620139581,28.293280159521437,16.142746759720836
9,Coimbatore,7.7351813471502595,28.58235751295337,11.579844559585492
5,Bhopal,7.1260553633217985,31.04463667820069,18.971730103806227
2,Amaravati,4.7514931650893795,22.147655099894845,12.211819137749737
24,Thiruvananthapuram,3.6343705035971223,9.723273381294964,6.158174460431655
22,Shillong,2.6248387096774195,6.355483870967742,5.294741935483871
